OBJECTID,Station Identification,Observation Date/Time,Station Name,Country Name,Station Elevation (Meters),Air Temperature (°F),Dew Point Temperature (°F),Relative Humidity (%),Wind Origin (Degrees),Wind Speed (km/h),Wind Gust (km/h),Wind Chill (°F),Horizontal Visibility (Meters),Altimeter Pressure (Millibars),Sky Conditions,Weather Conditions,Remarks,Heat Feels Like (°F),Location Latitude (DD),Location Longitude (DD),x,y
1,PAMD,11/10/2019 2:06:00 AM,Middleton Island,"Alaska, United States Of America",14,44.6,44.6,100,140,9,0,41.4,2000,1016.6,Overcast Cloud Deck at 180 meters AGL,Mist,Hourly Precipitation Amount: trace,,59.43,-146.3,-146.300000000396,59.4299999997978
2,KAWO,11/10/2019 2:05:00 AM,Arlington Muni,"Washington, United States Of America",42,50,48.2,94,0,0,0,66.8,9700,1023,"Scattered Clouds at 180 meters AGL, Overcast Cloud Deck at 760 meters AGL","Light Rain, Mist",* Maintenance REQUIRED - readings may be compromised *,,48.17,-122.17,-122.169999999872,48.1699999999195
3,CYNM,11/10/2019 2:05:00 AM,Matagami Airport,"Quebec, Canada",281,21.2,19.4,93,300,7,0,14.8,4800,1003,Overcast Cloud Deck at 1200 meters AGL,Light Snow,,,49.77,-77.82,-77.8199999997076,49.7699999997219
4,YPKG,11/10/2019 2:05:00 AM,Kalgoorlie/Bould,Australia,360,95,24.8,8,340,31,50,,10000,1010.9,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,88.9,-30.77,121.45,121.449999999613,-30.7700000001847
5,CYPE,11/10/2019 2:05:00 AM,Peace River Airp,"Alberta, Canada",571,5,-2.2,71,20,15,0,-9.1,24000,1034.5,"Few Clouds at 910 meters AGL, Overcast Cloud Deck at 1800 meters AGL",Light Snow,,,56.22,-117.45,-117.45000000027,56.2199999997507
6,KBIS,11/10/2019 2:05:00 AM,Bismarck,"North Dakota, United States Of America",505,32,28,85,360,19,35,23,16000,1018.3,Overcast Cloud Deck at 270 meters AGL,No significant weather present at this time.,,,46.77,-100.75,-100.7499999998,46.7700000001669
7,K2G4,11/10/2019 2:05:00 AM,Garrett Co,"Maryland, United States Of America",894,33.8,17.6,51,210,9,0,28.5,16000,1016.6,Overcast Cloud Deck at 880 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,39.58,-79.33,-79.329999999727,39.5800000000343
8,KPQL,11/10/2019 2:05:00 AM,Pascagoula,"Mississippi, United States Of America",6,48.9,45,86,0,0,0,66.1,2800,1022.7,Sky Clear below 3700 meters AGL,Mist,,,30.47,-88.53,-88.5299999997439,30.470000000126
9,CYEG,11/10/2019 2:04:00 AM,Edmonton Intl Ar,"Alberta, Canada",723,14,10.4,85,340,9,0,5,1200,1028.1,Obscured Sky,Light Snow,,,53.28,-113.57,-113.570000000071,53.2800000001397
10,PAKH,11/10/2019 2:04:00 AM,Akhiok,"Alaska, United States Of America",14,48.2,46.4,93,80,26,0,42,,1012.9,"Scattered Clouds at 340 meters AGL, Scattered Clouds at 580 meters AGL",Automated observation with no human augmentation; there may or may not be significant weather present at this time.,* Maintenance REQUIRED - readings may be compromised *,,56.93,-154.18,-154.179999999938,56.9299999999601
11,YSNF,11/10/2019 2:04:00 AM,Norfolk Island A,Australia,109,68,59,73,260,30,0,,10000,1005.9,"Scattered Clouds at 700 meters AGL, Scattered Clouds at 910 meters AGL, Broken Clouds at 1200 meters AGL",Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,-29.02,167.92,167.919999999942,-29.0199999998012
12,LZZI,11/10/2019 2:04:00 AM,Zilina,Slovakia,311,42.8,41,93,110,2,0,44.5,10000,1009.9,Overcast Cloud Deck at 430 meters AGL,No significant weather present at this time.,,,49.23,18.62,18.6200000002627,49.229999999775
13,KHQM,11/10/2019 2:04:00 AM,Hoquiam,"Washington, United States Of America",7,51.1,51.1,100,110,11,0,,4000,1022.3,"Broken Clouds at 180 meters AGL, Overcast Cloud Deck at 340 meters AGL",Mist,* Maintenance REQUIRED - readings may be compromised *,,46.97,-123.93,-123.929999999907,46.9700000001952
14,KHST,11/10/2019 2:04:00 AM,Homestead Afb,"Florida, United States Of America",2,69.8,68,94,10,9,0,,16000,1016.2,"Few Clouds at 180 meters AGL, Scattered Clouds at 670 meters AGL, Scattered Clouds at 880 meters AGL, Broken Clouds at 1100 meters AGL",Light Drizzle,,,25.47,-80.37,-80.3700000004007,25.4700000002779
15,CYIO,11/10/2019 2:03:00 AM,Pond Inlet Airpo,"Nunavut, Canada",57,1.4,-2.2,84,180,7,0,-8.3,3600,1013.5,Overcast Cloud Deck at 150 meters AGL,Mist,,,72.67,-77.97,-77.9700000004353,72.6700000001168
16,YGFN,11/10/2019 2:03:00 AM,Grafton Arpt,Australia,34,78.8,28.4,16,110,19,0,,5000,1009.9,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,75.3,-29.77,153.03,153.030000000048,-29.7700000001798
17,CBBC,11/10/2019 2:03:00 AM,Bella Bella,"British Columbia, Canada",43,50,50,100,200,6,0,49.3,4800,1021.7,Overcast Cloud Deck at 150 meters AGL,Mist,,,52.18,-128.15,-128.150000000377,52.1800000002374
18,KHYR,11/10/2019 2:03:00 AM,Hayward,"Wisconsin, United States Of America",370,30.9,27,85,270,6,0,27.5,16000,1011.2,Broken Clouds at 340 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,46.02,-91.45,-91.4499999995969,46.0199999997772
19,KFGN,11/10/2019 2:03:00 AM,Flag Island,"Minnesota, United States Of America",328,24.8,17.6,74,330,39,0,9.3,16000,1013.5,,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,49.32,-94.9,-94.9000000001647,49.3199999998265
20,PASA,11/10/2019 2:03:00 AM,Savoonga,"Alaska, United States Of America",16,37.4,35.6,93,100,15,0,30.8,16000,1010.5,"Few Clouds at 430 meters AGL, Scattered Clouds at 730 meters AGL, Overcast Cloud Deck at 1500 meters AGL",Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,63.68,-170.5,-170.500000000421,63.6800000000338
21,KFME,11/10/2019 2:03:00 AM,Fort Meade,"Maryland, United States Of America",46,28.4,26.6,93,0,0,0,53.4,16000,1023.4,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,39.08,-76.77,-76.7700000000035,39.0799999997943
22,KCGS,11/10/2019 2:03:00 AM,College Park,"Maryland, United States Of America",15,31.6,24.4,74,0,0,0,55.4,16000,1022.7,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,38.98,-76.92,-76.9199999998329,38.9800000003472
23,OPIS,11/10/2019 2:02:55 AM,,,537,53.6,41,62,230,7,0,,6000,1015.9,Sky Clear below 3700 meters AGL,No significant weather present at this time.,,,33.55,72.83,72.8300000002325,33.5500000000116
24,CYVM,11/10/2019 2:02:00 AM,Qikiqtarjuaq,"Nunavut, Canada",6,28.4,26.6,93,350,48,61,12.7,1600,993.5,"Few Clouds at 180 meters AGL, Overcast Cloud Deck at 300 meters AGL",Light Snow,,,67.53,-64.02,-64.0200000001314,67.5300000001678
25,PASM,11/10/2019 2:02:00 AM,Saint Marys,"Alaska, United States Of America",92,21,16,81,60,19,30,9.2,16000,1013.2,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,62.07,-163.3,-163.299999999627,62.0699999999298
26,PAMO,11/10/2019 2:02:00 AM,Mountain Village,"Alaska, United States Of America",103,23,18,81,90,30,0,8.7,16000,1012.5,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,62.1,-163.68,-163.679999999614,62.0999999999773
27,K4I3,11/10/2019 2:02:00 AM,Mt Vernon/Knox,"Ohio, United States Of America",363,32,23,69,180,9,0,26.4,16000,1016.9,Sky Clear below 3700 meters AGL,Automated observation with no human augmentation; there may or may not be significant weather present at this time.,,,40.33,-82.53,-82.5300000002797,40.3300000002548
28,KVUO,11/10/2019 2:02:00 AM,Vancouver,"Washington, United States Of America",8,50,48,93,0,0,0,66.8,4000,1023.7,"Scattered Clouds at 210 meters AGL, Broken Clouds at 340 meters AGL, Overcast Cloud Deck at 700 meters AGL","Light Rain, Mist",Hourly Precipitation Amount: 0.0 in,,45.62,-122.65,-122.650000000045,45.619999999747
